time=    0, Simulation Start
time=    0, Starting Reset
time=  240, Reset Completed
time=  240, Starting Test mode 00
Time=7460 Error dut: load=x, rco=z, Q=00000000000000000000000010110011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=7500 Error dut: load=x, rco=z, Q=00000000000000000000000010110101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=7540 Error dut: load=x, rco=z, Q=00000000000000000000000010110101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=7580 Error dut: load=x, rco=z, Q=00000000000000000000000010110111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=7620 Error dut: load=x, rco=z, Q=00000000000000000000000010110111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=7660 Error dut: load=x, rco=z, Q=00000000000000000000000010111001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=7700 Error dut: load=x, rco=z, Q=00000000000000000000000010111001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=7740 Error dut: load=x, rco=z, Q=00000000000000000000000010111011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=7780 Error dut: load=x, rco=z, Q=00000000000000000000000010111011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=7820 Error dut: load=x, rco=z, Q=00000000000000000000000010111101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=7860 Error dut: load=x, rco=z, Q=00000000000000000000000010111101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=7900 Error dut: load=x, rco=z, Q=00000000000000000000000010111111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=7940 Error dut: load=x, rco=z, Q=00000000000000000000000010111111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=7980 Error dut: load=x, rco=z, Q=00000000000000000000000011000001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=8020 Error dut: load=x, rco=z, Q=00000000000000000000000011000001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=8060 Error dut: load=x, rco=z, Q=00000000000000000000000011000011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=8100 Error dut: load=x, rco=z, Q=00000000000000000000000011000011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=8140 Error dut: load=x, rco=z, Q=00000000000000000000000011000101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=8180 Error dut: load=x, rco=z, Q=00000000000000000000000011000101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=8220 Error dut: load=x, rco=z, Q=00000000000000000000000011000111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=8260 Error dut: load=x, rco=z, Q=00000000000000000000000011000111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=8300 Error dut: load=x, rco=z, Q=00000000000000000000000011001001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=8340 Error dut: load=x, rco=z, Q=00000000000000000000000011001001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=8380 Error dut: load=x, rco=z, Q=00000000000000000000000011001011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=8420 Error dut: load=x, rco=z, Q=00000000000000000000000011001011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=8460 Error dut: load=x, rco=z, Q=00000000000000000000000011001101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=8500 Error dut: load=x, rco=z, Q=00000000000000000000000011001101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=8540 Error dut: load=x, rco=z, Q=00000000000000000000000011001111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=8580 Error dut: load=x, rco=z, Q=00000000000000000000000011001111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
